Subregion,Region,Lat,Long,Day,Count,What
All,Thailand,15,101,2020-01-22,2,Confirmed Cases
All,Japan,36,138,2020-01-22,2,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-22,444,Confirmed Cases
All,"Korea, South",36,128,2020-01-22,1,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-22,26,Confirmed Cases
Henan,China,33.882,113.614,2020-01-22,5,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-22,10,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-22,4,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-22,1,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-22,2,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-22,2,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-22,1,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-22,6,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-22,5,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-22,14,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-22,9,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-22,1,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-22,1,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-22,2,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-22,1,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-22,4,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-22,1,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-22,4,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-22,1,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-22,2,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-22,1,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-22,1,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-22,1,Confirmed Cases
All,Thailand,15,101,2020-01-23,3,Confirmed Cases
All,Japan,36,138,2020-01-23,1,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-23,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-23,444,Confirmed Cases
All,"Korea, South",36,128,2020-01-23,1,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-23,32,Confirmed Cases
Henan,China,33.882,113.614,2020-01-23,5,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-23,27,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-23,9,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-23,9,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-23,7,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-23,6,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-23,5,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-23,9,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-23,8,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-23,2,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-23,22,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-23,16,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-23,1,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-23,5,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-23,5,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-23,3,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-23,2,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-23,5,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-23,3,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-23,4,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-23,1,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-23,2,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-23,2,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-23,3,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-23,1,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-23,2,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-23,1,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-23,1,Confirmed Cases
All,Vietnam,16,108,2020-01-23,2,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-23,2,Confirmed Cases
All,Thailand,15,101,2020-01-24,5,Confirmed Cases
All,Japan,36,138,2020-01-24,2,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-24,3,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-24,549,Confirmed Cases
All,"Korea, South",36,128,2020-01-24,2,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-24,53,Confirmed Cases
Henan,China,33.882,113.614,2020-01-24,9,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-24,43,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-24,24,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-24,15,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-24,18,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-24,15,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-24,9,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-24,27,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-24,15,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-24,4,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-24,36,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-24,20,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-24,2,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-24,10,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-24,23,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-24,5,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-24,5,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-24,8,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-24,3,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-24,8,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-24,1,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-24,2,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-24,2,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-24,4,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-24,3,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-24,2,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-24,1,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-24,2,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-24,3,Confirmed Cases
All,Vietnam,16,108,2020-01-24,2,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-24,2,Confirmed Cases
All,Thailand,15,101,2020-01-25,7,Confirmed Cases
All,Japan,36,138,2020-01-25,2,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-25,3,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-25,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-25,3,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-25,761,Confirmed Cases
All,"Korea, South",36,128,2020-01-25,2,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-25,78,Confirmed Cases
Henan,China,33.882,113.614,2020-01-25,32,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-25,62,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-25,43,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-25,39,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-25,18,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-25,27,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-25,18,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-25,57,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-25,28,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-25,9,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-25,41,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-25,33,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-25,8,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-25,18,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-25,23,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-25,15,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-25,11,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-25,19,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-25,4,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-25,10,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-25,6,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-25,4,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-25,5,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-25,17,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-25,4,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-25,3,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-25,7,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-25,3,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-25,3,Confirmed Cases
All,Vietnam,16,108,2020-01-25,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-25,1,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-25,2,Confirmed Cases
All,Thailand,15,101,2020-01-26,8,Confirmed Cases
All,Japan,36,138,2020-01-26,4,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-26,4,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-26,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-26,4,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-26,3,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-26,1,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-26,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-26,1058,Confirmed Cases
All,"Korea, South",36,128,2020-01-26,3,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-26,111,Confirmed Cases
Henan,China,33.882,113.614,2020-01-26,83,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-26,104,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-26,69,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-26,60,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-26,36,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-26,46,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-26,33,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-26,75,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-26,44,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-26,15,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-26,68,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-26,40,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-26,13,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-26,35,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-26,36,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-26,22,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-26,16,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-26,22,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-26,5,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-26,14,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-26,9,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-26,7,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-26,8,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-26,21,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-26,4,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-26,4,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-26,7,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-26,4,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-26,4,Confirmed Cases
All,Vietnam,16,108,2020-01-26,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-26,1,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-26,5,Confirmed Cases
All,Thailand,15,101,2020-01-27,8,Confirmed Cases
All,Japan,36,138,2020-01-27,4,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-27,5,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-27,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-27,4,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-27,4,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-27,1,Confirmed Cases
All,Cambodia,11.55,104.9167,2020-01-27,1,Confirmed Cases
All,Sri Lanka,7,81,2020-01-27,1,Confirmed Cases
All,Germany,51,9,2020-01-27,1,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-27,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-27,1423,Confirmed Cases
All,"Korea, South",36,128,2020-01-27,4,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-27,151,Confirmed Cases
Henan,China,33.882,113.614,2020-01-27,128,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-27,128,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-27,100,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-27,70,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-27,72,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-27,75,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-27,47,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-27,110,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-27,69,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-27,21,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-27,80,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-27,53,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-27,18,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-27,59,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-27,46,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-27,35,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-27,26,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-27,33,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-27,7,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-27,23,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-27,13,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-27,14,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-27,8,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-27,27,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-27,6,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-27,5,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-27,11,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-27,7,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-27,5,Confirmed Cases
All,Vietnam,16,108,2020-01-27,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-27,6,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-27,6,Confirmed Cases
All,Thailand,15,101,2020-01-28,14,Confirmed Cases
All,Japan,36,138,2020-01-28,7,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-28,7,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-28,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-28,4,Confirmed Cases
British Columbia,Canada,49.2827,-123.1207,2020-01-28,1,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-28,4,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-28,1,Confirmed Cases
All,Cambodia,11.55,104.9167,2020-01-28,1,Confirmed Cases
All,Sri Lanka,7,81,2020-01-28,1,Confirmed Cases
All,Germany,51,9,2020-01-28,4,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-28,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-28,3554,Confirmed Cases
All,"Korea, South",36,128,2020-01-28,4,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-28,207,Confirmed Cases
Henan,China,33.882,113.614,2020-01-28,168,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-28,173,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-28,143,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-28,106,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-28,109,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-28,95,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-28,70,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-28,132,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-28,90,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-28,33,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-28,91,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-28,66,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-28,33,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-28,80,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-28,51,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-28,46,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-28,44,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-28,40,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-28,9,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-28,24,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-28,27,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-28,19,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-28,8,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-28,34,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-28,8,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-28,10,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-28,15,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-28,11,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-28,8,Confirmed Cases
All,Vietnam,16,108,2020-01-28,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-28,6,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-28,7,Confirmed Cases
All,Thailand,15,101,2020-01-29,14,Confirmed Cases
All,Japan,36,138,2020-01-29,7,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-29,7,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-29,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-29,7,Confirmed Cases
British Columbia,Canada,49.2827,-123.1207,2020-01-29,1,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-29,4,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-29,1,Confirmed Cases
Queensland,Australia,-28.0167,153.4,2020-01-29,1,Confirmed Cases
All,Cambodia,11.55,104.9167,2020-01-29,1,Confirmed Cases
All,Sri Lanka,7,81,2020-01-29,1,Confirmed Cases
All,Germany,51,9,2020-01-29,4,Confirmed Cases
All,Finland,64,26,2020-01-29,1,Confirmed Cases
All,United Arab Emirates,24,54,2020-01-29,4,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-29,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-29,3554,Confirmed Cases
All,"Korea, South",36,128,2020-01-29,4,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-29,277,Confirmed Cases
Henan,China,33.882,113.614,2020-01-29,206,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-29,296,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-29,221,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-29,152,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-29,109,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-29,130,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-29,99,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-29,147,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-29,108,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-29,38,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-29,111,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-29,96,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-29,48,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-29,84,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-29,58,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-29,56,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-29,55,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-29,43,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-29,9,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-29,27,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-29,27,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-29,24,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-29,10,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-29,39,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-29,9,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-29,13,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-29,16,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-29,12,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-29,8,Confirmed Cases
All,Vietnam,16,108,2020-01-29,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-29,6,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-29,7,Confirmed Cases
All,Thailand,15,101,2020-01-30,14,Confirmed Cases
All,Japan,36,138,2020-01-30,11,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-30,10,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-30,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-30,8,Confirmed Cases
British Columbia,Canada,49.2827,-123.1207,2020-01-30,1,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-30,4,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-30,2,Confirmed Cases
Queensland,Australia,-28.0167,153.4,2020-01-30,3,Confirmed Cases
All,Cambodia,11.55,104.9167,2020-01-30,1,Confirmed Cases
All,Sri Lanka,7,81,2020-01-30,1,Confirmed Cases
All,Germany,51,9,2020-01-30,4,Confirmed Cases
All,Finland,64,26,2020-01-30,1,Confirmed Cases
All,United Arab Emirates,24,54,2020-01-30,4,Confirmed Cases
All,Philippines,13,122,2020-01-30,1,Confirmed Cases
All,India,21,78,2020-01-30,1,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-30,1,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-30,4903,Confirmed Cases
All,"Korea, South",36,128,2020-01-30,4,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-30,354,Confirmed Cases
Henan,China,33.882,113.614,2020-01-30,278,Confirmed Cases
Zhejiang,China,29.1832,120.0934,2020-01-30,428,Confirmed Cases
Hunan,China,27.6104,111.7088,2020-01-30,277,Confirmed Cases
Anhui,China,31.8257,117.2264,2020-01-30,200,Confirmed Cases
Jiangxi,China,27.614,115.7221,2020-01-30,162,Confirmed Cases
Shandong,China,36.3427,118.1498,2020-01-30,158,Confirmed Cases
Jiangsu,China,32.9711,119.455,2020-01-30,129,Confirmed Cases
Chongqing,China,30.0572,107.874,2020-01-30,182,Confirmed Cases
Sichuan,China,30.6171,102.7103,2020-01-30,142,Confirmed Cases
Heilongjiang,China,47.862,127.7615,2020-01-30,44,Confirmed Cases
Beijing,China,40.1824,116.4142,2020-01-30,114,Confirmed Cases
Shanghai,China,31.202,121.4491,2020-01-30,112,Confirmed Cases
Hebei,China,39.549,116.1306,2020-01-30,65,Confirmed Cases
Fujian,China,26.0789,117.9874,2020-01-30,101,Confirmed Cases
Guangxi,China,23.8298,108.7881,2020-01-30,78,Confirmed Cases
Shaanxi,China,35.1917,108.8701,2020-01-30,63,Confirmed Cases
Yunnan,China,24.974,101.487,2020-01-30,70,Confirmed Cases
Hainan,China,19.1959,109.7453,2020-01-30,46,Confirmed Cases
Guizhou,China,26.8154,106.8748,2020-01-30,12,Confirmed Cases
Tianjin,China,39.3054,117.323,2020-01-30,31,Confirmed Cases
Shanxi,China,37.5777,112.2922,2020-01-30,35,Confirmed Cases
Gansu,China,37.8099,101.0583,2020-01-30,26,Confirmed Cases
Hong Kong,China,22.3,114.2,2020-01-30,10,Confirmed Cases
Liaoning,China,41.2956,122.6085,2020-01-30,41,Confirmed Cases
Jilin,China,43.6661,126.1923,2020-01-30,14,Confirmed Cases
Xinjiang,China,41.1129,85.2401,2020-01-30,14,Confirmed Cases
Inner Mongolia,China,44.0935,113.9448,2020-01-30,19,Confirmed Cases
Ningxia,China,37.2692,106.1655,2020-01-30,17,Confirmed Cases
All,Taiwan*,23.7,121,2020-01-30,9,Confirmed Cases
All,Vietnam,16,108,2020-01-30,2,Confirmed Cases
Qinghai,China,35.7452,95.9956,2020-01-30,8,Confirmed Cases
Macau,China,22.1667,113.55,2020-01-30,7,Confirmed Cases
Tibet,China,31.6927,88.0924,2020-01-30,1,Confirmed Cases
All,Thailand,15,101,2020-01-31,19,Confirmed Cases
All,Japan,36,138,2020-01-31,15,Confirmed Cases
All,Singapore,1.2833,103.8333,2020-01-31,13,Confirmed Cases
All,Nepal,28.1667,84.25,2020-01-31,1,Confirmed Cases
All,Malaysia,2.5,112.5,2020-01-31,8,Confirmed Cases
British Columbia,Canada,49.2827,-123.1207,2020-01-31,1,Confirmed Cases
New South Wales,Australia,-33.8688,151.2093,2020-01-31,4,Confirmed Cases
Victoria,Australia,-37.8136,144.9631,2020-01-31,3,Confirmed Cases
Queensland,Australia,-28.0167,153.4,2020-01-31,2,Confirmed Cases
All,Cambodia,11.55,104.9167,2020-01-31,1,Confirmed Cases
All,Sri Lanka,7,81,2020-01-31,1,Confirmed Cases
All,Germany,51,9,2020-01-31,5,Confirmed Cases
All,Finland,64,26,2020-01-31,1,Confirmed Cases
All,United Arab Emirates,24,54,2020-01-31,4,Confirmed Cases
All,Philippines,13,122,2020-01-31,1,Confirmed Cases
All,India,21,78,2020-01-31,1,Confirmed Cases
All,Italy,43,12,2020-01-31,2,Confirmed Cases
All,Sweden,63,16,2020-01-31,1,Confirmed Cases
Ontario,Canada,51.2538,-85.3232,2020-01-31,3,Confirmed Cases
Hubei,China,30.9756,112.2707,2020-01-31,5806,Confirmed Cases
All,"Korea, South",36,128,2020-01-31,11,Confirmed Cases
Guangdong,China,23.3417,113.4244,2020-01-31,436,Confirmed Cases
Henan,China,33.882,113.614,2020-01-31,352,Confirmed Cases
